id|title
2601.18091|From LLMs to LRMs: Rethinking Pruning for Reasoning-Centric Models
2601.19675|LoPRo: Enhancing Low-Rank Quantization via Permuted Block-Wise Rotation
2601.09694|LLMs can Compress LLMs: Adaptive Pruning by Agents
2601.10765|Pruning as Evolution: Emergent Sparsity Through Selection Dynamics in Neural Networks
2601.16991|Sparsity-Aware Low-Rank Representation for Efficient Fine-Tuning of Large Language Models
2601.06959|HAS-VQ: Hessian-Adaptive Sparse Vector Quantization for High-Fidelity LLM Compression
2601.12042|Less Is More -- Until It Breaks: Security Pitfalls of Vision Token Compression in Large Vision-Language Models
2602.00372|Post-Training Probability Manifold Correction via Structured SVD Pruning and Self-Referential Distillation
2601.00282|Can Large Language Models Still Explain Themselves? Investigating the Impact of Quantization on Self-Explanations
2601.07878|Sliced-Wasserstein Distribution Alignment Loss Improves the Ultra-Low-Bit Quantization of Large Language Models
2601.07892|Sherry: Hardware-Efficient 1.25-Bit Ternary Quantization via Fine-grained Sparsification
2601.09865|Advancing Model Refinement: Muon-Optimized Distillation and Quantization for LLM Deployment
2601.10079|Sparse-RL: Breaking the Memory Wall in LLM Reinforcement Learning via Stable Sparse Rollouts
2601.10155|LOOKAT: Lookup-Optimized Key-Attention for Memory-Efficient Transformers
2601.13563|ButterflyMoE: Compression-Scalable Ternary Experts via Structured Butterfly Orbits
2601.15538|QUAIL: Quantization Aware Unlearning for Mitigating Misinformation in LLMs
2601.20107|Structural Anchor Pruning: Training-Free Multi-Vector Compression for Visual Document Retrieval
2601.21069|CompSRT: Quantization and Pruning for Image Super Resolution Transformers
2601.21626|HeRo-Q: A General Framework for Stable Low Bit Quantization via Hessian Conditioning
2602.11184|KBVQ-MoE: KLT-guided SVD with Bias-Corrected Vector Quantization for MoE Large Language Models
2601.03195|Sparse Knowledge Distillation: A Mathematical Framework for Probability-Domain Temperature Scaling and Multi-Stage Compression
2601.22716|Breaking the Blocks: Continuous Low-Rank Decomposed Scaling for Unified LLM Quantization and Adaptation
2602.02546|D$^2$Quant: Accurate Low-bit Post-Training Weight Quantization for LLMs
2601.00679|QSLM: A Performance- and Memory-aware Quantization Framework with Tiered Search Strategy for Spike-driven Language Models
2601.05684|FLRQ: Faster LLM Quantization with Flexible Low-Rank Matrix Sketching
2601.06558|Robust Sparse Signal Recovery with Outliers: A Hard Thresholding Pursuit Approach Based on LAD
2601.06702|GRASP LoRA: GRPO Guided Adapter Sparsity Policy for Cross Lingual Transfer
2601.12638|Mixed Precision PointPillars for Efficient 3D Object Detection with TensorRT
2601.15079|LoRAP: Low-Rank Aggregation Prompting for Quantized Graph Neural Networks Training
2601.15772|LL-GaussianImage: Efficient Image Representation for Zero-shot Low-Light Enhancement with 2D Gaussian Splatting
2601.18150|FP8-RL: A Practical and Stable Low-Precision Stack for LLM Reinforcement Learning
2601.19503|GradPruner: Gradient-Guided Layer Pruning Enabling Efficient Fine-Tuning and Inference for LLMs
2601.20317|VersaQ-3D: Architecture Support for Visual Geometry Grounded Transformers via Versatile Quantization
2601.21531|On the Adversarial Robustness of Large Vision-Language Models under Visual Token Compression
2602.00377|DecompressionLM: Deterministic, Diagnostic, and Zero-Shot Concept Graph Extraction from Language Models
2602.00780|Environment-Aware Adaptive Pruning with Interleaved Inference Orchestration for Vision-Language-Action Models
2601.00942|Reliability Under Randomness: An Empirical Analysis of Sparse and Dense Language Models Across Decoding Temperatures
2601.02437|TAP-ViTs: Task-Adaptive Pruning for On-Device Deployment of Vision Transformers
2601.02875|Revisiting Data Compression with Language Modeling
2601.03387|SEP Analysis of a Low-Resolution SIMO System with M-PSK over Fading Channels
2601.03851|Rethinking Table Pruning in TableQA: From Sequential Revisions to Gold Trajectory-Supervised Parallel Search
2601.04719|GPU-Accelerated INT8 Quantization for KV Cache Compression in Large Language Models
2601.05913|Distilling Lightweight Domain Experts from Large ML Models by Identifying Relevant Subspaces
2601.06483|Joint Impact of ADC and Fronthaul Quantization in Cell-Free Massive MIMO-OFDM Uplink
2601.11663|Activation Sensitivity as a Unifying Principle for Post-Training Quantization
2601.13559|AgentGC: Evolutionary Learning-based Lossless Compression for Genomics Data with LLM-driven Multiple Agent
2601.15287|Towards Understanding Best Practices for Quantization of Vision-Language Models
2601.15394|Memorization Dynamics in Knowledge Distillation for Language Models
2601.16746|SWE-Pruner: Self-Adaptive Context Pruning for Coding Agents
2601.17987|Systematic Characterization of Minimal Deep Learning Architectures: A Unified Analysis of Convergence, Pruning, and Quantization
2601.20088|Quantization-Aware Distillation for NVFP4 Inference Accuracy Recovery
2601.20362|Switchcodec: Adaptive residual-expert sparse quantization for high-fidelity neural audio coding
2601.20467|CtrlCoT: Dual-Granularity Chain-of-Thought Compression for Controllable Reasoning
2601.20745|HESTIA: A Hessian-Guided Differentiable Quantization-Aware Training Framework for Extremely Low-Bit LLMs
2601.22101|ECO: Quantized Training without Full-Precision Master Weights
2601.22709|Gated Relational Alignment via Confidence-based Distillation for Efficient VLMs
2601.23105|Lossy Compression of Cellular Network KPIs
2602.00534|AIRE-Prune: Asymptotic Impulse-Response Energy for State Pruning in State Space Models
2601.01204|XStreamVGGT: Extremely Memory-Efficient Streaming Vision Geometry Grounded Transformer with KV Cache Compression
2601.02213|Quantized SO(3)-Equivariant Graph Neural Networks for Efficient Molecular Property Prediction
2601.03290|Lightweight Transformer Architectures for Edge Devices in Real-Time Applications
2601.03609|Unveiling Text in Challenging Stone Inscriptions: A Character-Context-Aware Patching Strategy for Binarization
2601.04263|Learning to Reason: Temporal Saliency Distillation for Interpretable Knowledge Transfer
2601.05038|ArcAligner: Adaptive Recursive Aligner for Compressed Context Embeddings in RAG
2601.09176|$D^2Prune$: Sparsifying Large Language Models via Dual Taylor Expansion and Attention Distribution Awareness
2601.10379|Online sparse Bayesian identification of nonlinear time-varying systems
2601.12337|Turbo-GoDec: Exploiting the Cluster Sparsity Prior for Hyperspectral Anomaly Detection
2601.14888|What Makes Low-Bit Quantization-Aware Training Work for Reasoning LLMs? A Systematic Study
2601.16039|Characterizations of monadically dependent tree-ordered weakly sparse structures
2601.16536|W4A16 Mixed-Precision Matrix Multiplication on Decoupled Architecture: Kernel Design and Memory Bottleneck Analysis for Ascend NPUs
2601.17625|BrainDistill: Implantable Motor Decoding with Task-Specific Knowledge Distillation
2601.18306|Calibrating Beyond English: Language Diversity for Better Quantized Multilingual LLM
2601.18734|Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models
2601.19026|Is Finer Better? The Limits of Microscaling Formats in Large Language Models
2601.20301|Towards Compact and Robust DNNs via Compression-aware Sharpness Minimization
2601.21219|Soft Quantization: Model Compression Via Weight Coupling
2601.21238|PTQ4ARVG: Post-Training Quantization for AutoRegressive Visual Generation Models
2601.21269|Lightweight High-Fidelity Low-Bitrate Talking Face Compression for 3D Video Conference
2602.00165|Benford's Law as a Distributional Prior for Post-Training Quantization of Large Language Models
2602.00450|Model Optimization for Multi-Camera 3D Detection and Tracking
2602.00577|SAU: Sparsity-Aware Unlearning for LLMs via Gradient Masking and Importance Redistribution
2601.02888|RPIQ: Residual-Projected Multi-Collaboration Closed-Loop and Single Instance Quantization for Visually Impaired Assistance
2601.03067|Joint Encoding of KV-Cache Blocks for Scalable LLM Serving
2601.04476|Memory-Guided Unified Hardware Accelerator for Mixed-Precision Scientific Computing
2601.05398|Markovian Compression: Looking to the Past Helps Accelerate the Future
2601.05526|Discrete Homogeneity and Quantizer Design for Nonlinear Homogeneous Control Systems
2601.05639|Efficient training for compact compression models via sequential distillation
2601.06474|SparseOccVLA: Bridging Occupancy and Vision-Language Models via Sparse Queries for Unified 4D Scene Understanding and Planning
2601.07212|MI-PRUN: Optimize Large Language Model Pruning via Mutual Information
2601.07523|Sparse Point-wise Privacy Leakage: Mechanism Design and Fundamental Limits
2601.09093|Hidden States as Early Signals: Step-level Trace Evaluation and Pruning for Efficient Test-Time Scaling
2601.09361|GeoRA: Geometry-Aware Low-Rank Adaptation for RLVR
2601.10090|Difficulty-guided Sampling: Bridging the Target Gap between Dataset Distillation and Downstream Tasks
2601.11058|Impurity Self-Trapping in Lattice Bose systems
2601.11396|SUG-Occ: Explicit Semantics and Uncertainty Guided Sparse Learning for Efficient 3D Occupancy Prediction
2601.11626|Concatenated Matrix SVD: Compression Bounds, Incremental Approximation, and Error-Constrained Clustering
2601.11631|Compress to Focus: Efficient Coordinate Compression for Policy Optimization in Multi-Turn GUI Agents
2601.13100|Recursive Meta-Distillation: An Axiomatic Framework for Iterative Knowledge Refinement
2601.13631|ContiguousKV: Accelerating LLM Prefill with Granularity-Aligned KV Cache Management
2601.13953|Differentiable Logic Synthesis: Spectral Coefficient Selection via Sinkhorn-Constrained Composition
2601.14032|RM-Distiller: Exploiting Generative LLM for Reward Model Distillation
2601.14243|Jet-RL: Enabling On-Policy FP8 Reinforcement Learning with Unified Training and Rollout Precision Flow
2601.14277|Which Quantization Should I Use? A Unified Evaluation of llama.cpp Quantization on Llama-3.1-8B-Instruct
2601.14549|QMC: Efficient SLM Edge Inference via Outlier-Aware Quantization and Emergent Memories Co-Design
2601.15370|Improving MoE Compute Efficiency by Composing Weight and Data Sparsity
2601.16780|PocketDVDNet: Realtime Video Denoising for Real Camera Noise
2601.18547|REMAC: Reference-Based Martian Asymmetrical Image Compression
2601.18909|How Is Uncertainty Propagated in Knowledge Distillation?
2601.19117|Optimized $k$-means color quantization of digital images in machine-based and human perception-based colorspaces
2601.22813|Quartet II: Accurate LLM Pre-Training in NVFP4 by Improved Unbiased Gradient Estimation
2601.23148|Compressed BC-LISTA via Low-Rank Convolutional Decomposition
2602.00135|LLaVA-FA: Learning Fourier Approximation for Compressing Large Multimodal Models
2602.00852|Investigating the Robustness of Subtask Distillation under Spurious Correlation
2602.02538|Enhancing Post-Training Quantization via Future Activation Awareness
2602.02581|QuantLRM: Quantization of Large Reasoning Models via Fine-Tuning Signals
2601.01608|Guiding Token-Sparse Diffusion Models
2601.02298|Power-of-Two Quantization-Aware-Training (PoT-QAT) in Large Language Models (LLMs)
2601.02455|Diagnostic-Driven Layer-Wise Compensation for Post-Training Quantization of Encoder-Decoder ASR Models
2601.02662|When Prompting Meets Spiking: Graph Sparse Prompting via Spiking Graph Prompt Learning
2601.02674|Iterative Structured Pruning for Large Language Models with Multi-Domain Calibration
2601.02819|Punctuation-aware Hybrid Trainable Sparse Attention for Large Language Models
2601.03066|Do LLMs Encode Functional Importance of Reasoning Tokens?
2601.03332|LUT-KAN: Segment-wise LUT Quantization for Fast KAN Inference
2601.04359|PackCache: A Training-Free Acceleration Method for Unified Autoregressive Video Generation via Compact KV-Cache
2601.07475|ARCQuant: Boosting NVFP4 Quantization with Augmented Residual Channels for LLMs
2601.07584|Vector Quantized-Aided XL-MIMO CSI Feedback with Channel Adaptive Transmission
2601.07667|Adaptive Layer Selection for Layer-Wise Token Pruning in LLM Inference
2601.08271|Sparsity Is Necessary: Polynomial-Time Stability for Agentic LLMs in Large Action Spaces
